artifact_id, repo_path
"net.smartcosmos:smartcosmos-dao-relationships-default","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/net.smartcosmos:smartcosmos-dao-relationships-default"
"am.ik.yavi:yavi","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/am.ik.yavi:yavi"
"edu.iu.uits.lms:lms-canvas-viewem","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/edu.iu.uits.lms:lms-canvas-viewem"
"org.mapdb:mapdb-hz-offheap","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.mapdb:mapdb-hz-offheap"
"com.github.nikita-volkov.java:djdbc-functional-java","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.nikita-volkov.java:djdbc-functional-java"
"de.rub.nds:Asn1Tool","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/de.rub.nds:Asn1Tool"
"ca.mestevens.ios:xcode-project-parser","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/ca.mestevens.ios:xcode-project-parser"
"io.github.awidesky:ProcessExecutor","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.github.awidesky:ProcessExecutor"
"org.jisel:jisel","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.jisel:jisel"
"org.skife.vmware:vmrun-java-wrapper","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.skife.vmware:vmrun-java-wrapper"
"net.reevik:shade","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/net.reevik:shade"
"top.continew:continew-starter-security-crypto","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/top.continew:continew-starter-security-crypto"
"com.github.vicenthy.filehelpers4j:FileHelpers4J","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.vicenthy.filehelpers4j:FileHelpers4J"
"ca.exprofesso:guava-jcache","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/ca.exprofesso:guava-jcache"
"de.matrixweb.nodejs:nodejs","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/de.matrixweb.nodejs:nodejs"
"com.github.kasiprasad.contextspec:contextspec","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.kasiprasad.contextspec:contextspec"
"com.pcl-solutions.maven.wagons:rsync-maven-wagon","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.pcl-solutions.maven.wagons:rsync-maven-wagon"
"org.graylog2:syslog4j","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.graylog2:syslog4j"
"com.autognizant:ac-core","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.autognizant:ac-core"
"io.github.ericmedvet:jgea.problem","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.github.ericmedvet:jgea.problem"
"io.sdks:ev-recharge-sdk","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.sdks:ev-recharge-sdk"
"ch.randelshofer:org.jhotdraw8.collection","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/ch.randelshofer:org.jhotdraw8.collection"
"com.rubiconproject.oss:chendra","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.rubiconproject.oss:chendra"
"sh.tak.appbundler:appbundle-maven-plugin","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/sh.tak.appbundler:appbundle-maven-plugin"
"org.tickcode:BroadcastingInterfaces","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.tickcode:BroadcastingInterfaces"
"org.cubeengine.maven.plugins:githead-maven-plugin","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.cubeengine.maven.plugins:githead-maven-plugin"
"no.avexis:image-uploader","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/no.avexis:image-uploader"
"org.eclipse.ditto:ditto-signals-acks-things","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.eclipse.ditto:ditto-signals-acks-things"
"com.github.kristianhelgesen.aramis:aramis","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.kristianhelgesen.aramis:aramis"
"org.bboxdb:bboxdb","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.bboxdb:bboxdb"
"com.vaynberg.wicket.select25:wicket-select25","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.vaynberg.wicket.select25:wicket-select25"
"net.colesico.framework:colesico-openapi","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/net.colesico.framework:colesico-openapi"
"org.eclipse.digitaltwin.basyx:basyx.aasrepository-feature-mqtt","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.eclipse.digitaltwin.basyx:basyx.aasrepository-feature-mqtt"
"com.araguacaima:orpheus-db-test-jar","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.araguacaima:orpheus-db-test-jar"
"net.hydromatic:eigenbase-xom","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/net.hydromatic:eigenbase-xom"
"com.pastdev:jsch-nio","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.pastdev:jsch-nio"
"io.github.wistefan:gatling-aggregation-maven-plugin","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.github.wistefan:gatling-aggregation-maven-plugin"
